system,feature,rating,primary_citation,justification,confidence
E. coli,F1,check,Lee et al. 2012 PNAS; Karev et al. 2002,DNA/RNA genome serves as heritable digital string. mu=2.2e-10/bp/gen,high
E. coli,F2,check,Lee et al. 2012 PNAS; Karev et al. 2002,Gene family expansion via duplication confirmed. mu=2.2e-10/bp/gen,high
E. coli,F3,check,Lee et al. 2012 PNAS; Karev et al. 2002,Gene loss (deletion/pseudogenization) confirmed as ongoing evolutionary process.,high
E. coli,F4,check,Lee et al. 2012 PNAS; Karev et al. 2002,Natural selection on fitness differences confirmed; differential reproductive success observed.,high
E. coli,F5,check,Karev et al. 2002; Cosentino Lagomarsino et al. 2009,Power-law confirmed; Clauset KS p>0.1; alpha=1.7-2.2; method: BDIM-Karev + Clauset validation.,high
E. coli,F6,check,Lee et al. 2012 PNAS; Karev et al. 2002,Balanced birth-death-innovation dynamics confirmed; gene gain and loss rates approximately equal.,high
E. coli,F7,check,Lee et al. 2012 PNAS; Karev et al. 2002,Open-ended complexity growth confirmed; genome can expand via duplication and HGT.,high
E. coli,F8,check,Lee et al. 2012 PNAS; Karev et al. 2002,Drake K constant satisfied; mu=2.2e-10/bp/gen; Drake K=0.0010.,high
E. coli,F9,check,Lee et al. 2012 PNAS; Karev et al. 2002,Mutational robustness / error threshold satisfied; genome operates below critical mutation rate.,high
E. coli,F10,check,Lee et al. 2012 PNAS; Karev et al. 2002,Landauer bound applies; information processing in living/computational system incurs thermodynamic cost.,high
E. coli,F12,check,Lee et al. 2012 PNAS; Karev et al. 2002,Hierarchical modularity confirmed; genome organized into operons/regulons/modules.,high
E. coli,F13,check,Lee et al. 2012 PNAS; Karev et al. 2002,Evolvability confirmed; system demonstrates capacity for adaptive innovation and phenotypic change.,high
E. coli,F14,check,Lee et al. 2012 PNAS; Karev et al. 2002,WGD tolerance confirmed; lineage has undergone or can tolerate whole-genome duplication events.,high
S. cerevisiae,F1,check,Zhu et al. 2014 PNAS; Karev et al. 2002,DNA/RNA genome serves as heritable digital string. mu=1.67e-10/site/div,high
S. cerevisiae,F2,check,Zhu et al. 2014 PNAS; Karev et al. 2002,Gene family expansion via duplication confirmed. mu=1.67e-10/site/div,high
S. cerevisiae,F3,check,Zhu et al. 2014 PNAS; Karev et al. 2002,Gene loss (deletion/pseudogenization) confirmed as ongoing evolutionary process.,high
S. cerevisiae,F4,check,Zhu et al. 2014 PNAS; Karev et al. 2002,Natural selection on fitness differences confirmed; differential reproductive success observed.,high
S. cerevisiae,F5,check,Karev et al. 2002; Cosentino Lagomarsino et al. 2009,Power-law confirmed; Clauset KS p>0.1; alpha=2.0-2.5; method: BDIM-Karev + Clauset validation.,high
S. cerevisiae,F6,check,Zhu et al. 2014 PNAS; Karev et al. 2002,Balanced birth-death-innovation dynamics confirmed; gene gain and loss rates approximately equal.,high
S. cerevisiae,F7,check,Zhu et al. 2014 PNAS; Karev et al. 2002,Open-ended complexity growth confirmed; genome can expand via duplication and HGT.,high
S. cerevisiae,F8,check,Zhu et al. 2014 PNAS; Karev et al. 2002,Drake K constant satisfied; mu=1.67e-10/site/div; Drake K=0.0020.,high
S. cerevisiae,F9,check,Zhu et al. 2014 PNAS; Karev et al. 2002,Mutational robustness / error threshold satisfied; genome operates below critical mutation rate.,high
S. cerevisiae,F10,check,Zhu et al. 2014 PNAS; Karev et al. 2002,Landauer bound applies; information processing in living/computational system incurs thermodynamic cost.,high
S. cerevisiae,F12,check,Zhu et al. 2014 PNAS; Karev et al. 2002,Hierarchical modularity confirmed; genome organized into operons/regulons/modules.,high
S. cerevisiae,F13,check,Zhu et al. 2014 PNAS; Karev et al. 2002,Evolvability confirmed; system demonstrates capacity for adaptive innovation and phenotypic change.,high
S. cerevisiae,F14,check,Zhu et al. 2014 PNAS; Karev et al. 2002,WGD tolerance confirmed; lineage has undergone or can tolerate whole-genome duplication events.,high
H. sapiens,F1,check,Kong et al. 2012 Nature; Nurk et al. 2022 Science,DNA/RNA genome serves as heritable digital string. mu=1.2e-8/bp/gen,high
H. sapiens,F2,check,Kong et al. 2012 Nature; Nurk et al. 2022 Science,Gene family expansion via duplication confirmed. mu=1.2e-8/bp/gen,high
H. sapiens,F3,check,Kong et al. 2012 Nature; Nurk et al. 2022 Science,Gene loss (deletion/pseudogenization) confirmed as ongoing evolutionary process.,high
H. sapiens,F4,check,Kong et al. 2012 Nature; Nurk et al. 2022 Science,Natural selection on fitness differences confirmed; differential reproductive success observed.,high
H. sapiens,F5,check,Karev et al. 2002; Koonin et al. 2002,Gene family size distribution fits BDI3 model; alpha=1.8-2.0; BDIM-Karev chi-squared.,high
H. sapiens,F6,check,Kong et al. 2012 Nature; Nurk et al. 2022 Science,Balanced birth-death-innovation dynamics confirmed; gene gain and loss rates approximately equal.,high
H. sapiens,F7,check,Kong et al. 2012 Nature; Nurk et al. 2022 Science,Open-ended complexity growth confirmed; genome can expand via duplication and HGT.,high
H. sapiens,F8,check,Kong et al. 2012 Nature; Nurk et al. 2022 Science,Mutation rate measured; mu=1.2e-8/bp/gen; Drake K within expected range.,high
H. sapiens,F9,tilde,Kong et al. 2012 Nature; Nurk et al. 2022 Science,Somatic variation complicates error threshold assessment; germline is robust but somatic variation is high.,medium
H. sapiens,F10,check,Kong et al. 2012 Nature; Nurk et al. 2022 Science,Landauer bound applies; information processing in living/computational system incurs thermodynamic cost.,high
H. sapiens,F12,check,Kong et al. 2012 Nature; Nurk et al. 2022 Science,Hierarchical modularity confirmed; genome organized into operons/regulons/modules.,high
H. sapiens,F13,check,Kong et al. 2012 Nature; Nurk et al. 2022 Science,Evolvability confirmed; system demonstrates capacity for adaptive innovation and phenotypic change.,high
H. sapiens,F14,check,Kong et al. 2012 Nature; Nurk et al. 2022 Science,WGD tolerance confirmed; lineage has undergone or can tolerate whole-genome duplication events.,high
D. discoideum,F1,check,Eichinger et al. 2005 Nature,DNA/RNA genome serves as heritable digital string. mu~1.0e-10/bp/gen,high
D. discoideum,F2,check,Eichinger et al. 2005 Nature,Gene family expansion via duplication confirmed. mu~1.0e-10/bp/gen,high
D. discoideum,F3,check,Eichinger et al. 2005 Nature,Gene loss (deletion/pseudogenization) confirmed as ongoing evolutionary process.,high
D. discoideum,F4,check,Eichinger et al. 2005 Nature,Natural selection on fitness differences confirmed; differential reproductive success observed.,high
D. discoideum,F5,tilde,Eichinger et al. 2005,Heavy-tailed distribution observed qualitatively but not formally fitted with Clauset MLE.,low
D. discoideum,F6,check,Eichinger et al. 2005 Nature,Balanced birth-death-innovation dynamics confirmed; gene gain and loss rates approximately equal.,high
D. discoideum,F7,check,Eichinger et al. 2005 Nature,Open-ended complexity growth confirmed; genome can expand via duplication and HGT.,high
D. discoideum,F8,check,Eichinger et al. 2005 Nature,Drake K constant satisfied; mu~1.0e-10/bp/gen; Drake K=0.00099.,high
D. discoideum,F9,tilde,Eichinger et al. 2005 Nature,Error threshold partially satisfied; mutational robustness uncertain or not formally tested.,low
D. discoideum,F10,check,Eichinger et al. 2005 Nature,Landauer bound applies; information processing in living/computational system incurs thermodynamic cost.,high
D. discoideum,F12,check,Eichinger et al. 2005 Nature,Hierarchical modularity confirmed; genome organized into operons/regulons/modules.,high
D. discoideum,F13,check,Eichinger et al. 2005 Nature,Evolvability confirmed; system demonstrates capacity for adaptive innovation and phenotypic change.,high
F. albicollis,F1,check,Ellegren et al. 2012 Nature,DNA/RNA genome serves as heritable digital string. Collared flycatcher,high
F. albicollis,F2,check,Ellegren et al. 2012 Nature,Gene family expansion via duplication confirmed. Collared flycatcher,high
F. albicollis,F3,check,Ellegren et al. 2012 Nature,Gene loss (deletion/pseudogenization) confirmed as ongoing evolutionary process.,high
F. albicollis,F4,check,Ellegren et al. 2012 Nature,Natural selection on fitness differences confirmed; differential reproductive success observed.,high
